"","D367T01","D367T02","D367T03","D367T07","D367T08","D367T09","D367T13","D367T14","D367T15","D367T19","D367T20","D367T21","D367T25","D367T26","D367T27"
"ENSG00000283259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000142611",0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
"ENSG00000283572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272235",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000130762",22,2,6,27,0,4,38,4,3,18,2,1,27,0,2
"ENSG00000272088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162591",316,214,291,593,251,161,1050,380,369,609,260,279,645,139,191
"ENSG00000207776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238260",1,1,1,1,6,0,0,1,0,3,0,0,1,0,1
"ENSG00000158109",851,464,553,1397,614,623,1409,481,302,1501,658,680,1796,424,391
"ENSG00000116213",256,414,499,325,497,479,345,378,233,301,407,527,443,445,377
"ENSG00000078900",67,0,0,45,0,0,53,0,0,99,2,0,71,0,0
"ENSG00000227589",0,0,0,0,0,0,5,0,0,1,0,0,1,0,0
"ENSG00000235131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000227372",237,274,343,463,291,345,353,251,181,351,326,431,531,302,386
"ENSG00000276189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235169",6,6,10,22,3,5,20,2,4,14,9,14,19,10,10
"ENSG00000130764",564,610,716,830,739,679,857,503,326,812,656,769,1253,607,592
"ENSG00000266075",4,0,1,2,0,1,1,0,0,3,1,0,0,1,0
"ENSG00000272153",3,0,1,3,3,4,0,1,1,2,4,1,0,4,1
"ENSG00000116198",471,598,725,682,692,769,606,430,329,704,680,825,861,587,650
"ENSG00000169598",150,188,243,174,176,184,169,115,112,187,177,232,256,152,146
"ENSG00000198912",360,476,633,480,508,516,530,401,283,399,558,681,758,467,528
"ENSG00000236423",43,28,42,45,36,47,61,32,30,41,17,24,62,20,12
"ENSG00000233304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131697",140,114,221,188,154,191,202,144,140,195,153,226,279,103,147
"ENSG00000069424",9531,1119,1608,14631,2818,3351,13841,1066,1023,14001,1023,1324,16507,809,1143
"ENSG00000116254",1,1,1,0,3,1,1,0,1,1,0,2,0,2,1
"ENSG00000285629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116251",944,203,181,1369,433,381,1350,185,79,1183,206,169,2038,180,158
"ENSG00000226944",0,4,1,2,7,8,2,6,1,0,0,1,0,3,1
"ENSG00000158286",26,115,105,56,321,350,45,208,141,8,56,103,37,138,120
"ENSG00000116237",2644,700,840,3236,1011,1212,3045,588,382,3714,837,835,5069,696,641
"ENSG00000225077",1,4,6,5,3,5,0,5,1,3,7,2,6,7,6
"ENSG00000173673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000158292",157,54,52,171,39,63,272,51,40,156,82,75,313,73,81
"ENSG00000097021",1339,624,624,2043,928,1057,2471,654,399,1751,911,909,3468,902,859
"ENSG00000271746",2,0,2,0,1,3,0,0,2,1,0,0,2,2,0
"ENSG00000069812",291,159,112,306,118,68,395,114,47,285,93,34,297,54,47
"ENSG00000187017",7,0,2,11,0,0,19,1,1,6,1,0,7,0,2
"ENSG00000265392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215788",1,4,1,4,1,6,4,4,4,0,4,6,3,6,6
"ENSG00000171680",2,0,0,24,13,19,13,2,7,8,1,0,31,8,7
"ENSG00000162408",250,250,263,225,213,197,221,160,105,262,215,219,415,195,195
"ENSG00000253022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204859",449,271,309,515,516,435,493,285,164,484,320,346,799,250,206
"ENSG00000162413",813,956,1609,920,1495,1466,1017,994,862,929,1156,1242,1322,1137,1328
"ENSG00000116273",444,404,576,634,515,445,647,271,225,664,539,578,879,432,448
"ENSG00000041988",105,379,519,132,271,221,150,275,190,160,406,533,268,561,579
"ENSG00000007923",1294,999,1280,1452,831,1086,1531,577,497,1592,714,1052,2546,675,775
"ENSG00000228750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436",1,1,2,1,2,0,2,0,0,4,4,3,1,0,0
"ENSG00000171735",227,214,277,289,209,236,314,159,133,286,240,298,442,250,235
"ENSG00000227950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225126",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000270171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270035",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000269978",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"ENSG00000049245",3144,2781,3282,3727,2491,2534,3726,1828,1313,4319,2772,3126,5881,2576,2412
"ENSG00000269925",11,8,20,19,18,17,22,11,5,15,20,9,9,11,10
"ENSG00000049246",825,349,348,742,375,305,770,175,72,1027,256,256,921,265,158
